ChessLive — Top Chess960 simplechess (2026-09-12)
1. HaineZau — Elo 2708 (max 2708, 50 parties, 50V/0D/0N, pays FRA)
2. Miyukipa — Elo 2362 (max 2500, 80 parties, 67V/13D/0N, pays FRA)
3. 2500ez — Elo 2228 (max 2228, 68 parties, 67V/1D/0N, pays FRA)
4. Lebinh — Elo 2163 (max 2182, 138 parties, 123V/15D/0N, pays FRA)
5. GillesLeGrand — Elo 2156 (max 2300, 1561 parties, 1364V/171D/26N, pays USA)
6. tuco4000 — Elo 2114 (max 2170, 1213 parties, 953V/258D/2N, pays FRA)
7. Inspire — Elo 2050 (max 2194, 736 parties, 568V/164D/4N, pays FRA)
8. andrieux — Elo 2034 (max 2044, 422 parties, 322V/84D/16N, pays FRA)
9. Plumadargent — Elo 2032 (max 2163, 178 parties, 138V/34D/6N, pays PER)
10. naykom — Elo 2025 (max 2036, 280 parties, 191V/87D/2N, pays FRA)
