ChessLive — Top Bullet · ligue Bronze chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 266
1. Edimar Neto — 1863 points de ligue (Elo 983, niveau Bronze, division 2542, 86 parties, 43V/115D/3N, saison 22)
2. كريمو — 1774 points de ligue (Elo 1039, niveau Bronze, division 2495, 108 parties, 17V/91D/0N, saison 22)
3. 00001 — 1677 points de ligue (Elo -62, niveau Bronze, division 2495, 865 parties, 15V/850D/0N, saison 22)
4. veloso1982 — 1626 points de ligue (Elo 1022, niveau Bronze, division 2524, 104 parties, 13V/89D/2N, saison 22)
5. Ivayr — 1603 points de ligue (Elo 1033, niveau Bronze, division 2495, 93 parties, 24V/69D/0N, saison 22)
6. 1112222 — 1574 points de ligue (Elo 1023, niveau Bronze, division 2495, 95 parties, 13V/82D/0N, saison 22)
7. Mauriciofg — 1543 points de ligue (Elo 1052, niveau Bronze, division 2495, 105 parties, 24V/80D/1N, saison 22)
8. go_johnny_go — 1534 points de ligue (Elo 949, niveau Bronze, division 2495, 114 parties, 23V/90D/1N, saison 22)
9. Олександр 1985 — 1451 points de ligue (Elo 1092, niveau Bronze, division 2542, 39 parties, 31V/60D/0N, saison 22)
10. русь — 1401 points de ligue (Elo 1080, niveau Bronze, division 2488, 49 parties, 35V/38D/1N, saison 22)
