ChessLive — Top Chess960 chesshotel (2026-09-21)
Joueurs classés (saison) : 343
1. TiredAndSmelly — 540 points de ligue (Elo 1888, niveau Bronze, 111 parties, 74V/37D/0N, saison 22)
2. #Pokemon@25(: — 362 points de ligue (Elo 872, niveau Bronze, 66 parties, 43V/23D/0N, saison 22)
3. gasses — 258 points de ligue (Elo 1068, niveau Bronze, 29 parties, 24V/5D/0N, saison 22)
4. Caissachess — 229 points de ligue (Elo 1096, niveau Bronze, 15 parties, 15V/0D/0N, saison 22)
5. محمد ارشيد — 198 points de ligue (Elo 721, niveau Bronze, 36 parties, 20V/16D/0N, saison 22)
6. Bobbi 1 — 186 points de ligue (Elo 1268, niveau Placement, 4 parties, 3V/0D/1N, saison 22)
7. Noddy — 184 points de ligue (Elo 1243, niveau Placement, 3 parties, 3V/0D/0N, saison 22)
8. aziz la classe — 159 points de ligue (Elo 1010, niveau Placement, 4 parties, 2V/2D/0N, saison 22)
9. BEsg — 149 points de ligue (Elo 1244, niveau Placement, 3 parties, 2V/1D/0N, saison 22)
10. Tarabar9999 — 143 points de ligue (Elo 1253, niveau Placement, 2 parties, 2V/0D/0N, saison 22)
