ChessLive — Top Rapid · ligue Argent chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 582
1. km57 — 2270 points de ligue (Elo 1140, niveau Argent, division 2531, 71 parties, 50V/44D/2N, saison 22)
2. мікола — 2264 points de ligue (Elo 1127, niveau Argent, division 2489, 71 parties, 76V/109D/2N, saison 22)
3. Keep — 2176 points de ligue (Elo 1148, niveau Argent, division 2544, 54 parties, 57V/82D/10N, saison 22)
4. jacklepasbo — 2142 points de ligue (Elo 1171, niveau Argent, division 2514, 37 parties, 62V/73D/14N, saison 22)
5. Українець 19801 — 2011 points de ligue (Elo 1176, niveau Argent, division 2535, 63 parties, 140V/174D/11N, saison 22)
6. Bifffen — 1964 points de ligue (Elo 1178, niveau Argent, division 2531, 53 parties, 133V/124D/11N, saison 22)
7. nillamaria — 1927 points de ligue (Elo 1099, niveau Argent, division 2544, 7 parties, 50V/101D/23N, saison 22)
8. PavloPro — 1905 points de ligue (Elo 1169, niveau Argent, division 2531, 31 parties, 115V/169D/7N, saison 22)
9. Продобрей — 1887 points de ligue (Elo 1150, niveau Argent, division 2544, 28 parties, 99V/181D/12N, saison 22)
10. marsigliese — 1873 points de ligue (Elo 1179, niveau Argent, division 2514, 47 parties, 99V/122D/10N, saison 22)
