ChessLive — Top Blitz · ligue Maître chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 87
1. Ярослав55 — 6662 points de ligue (Elo 1594, niveau Maître, division 2498, 349 parties, 285V/35D/29N, saison 22)
2. DesertFox — 6591 points de ligue (Elo 1474, niveau Maître, division 2498, 311 parties, 263V/41D/7N, saison 22)
3. Oleg 333 — 5636 points de ligue (Elo 1510, niveau Maître, division 2498, 255 parties, 208V/37D/10N, saison 22)
4. valori — 4993 points de ligue (Elo 1624, niveau Maître, division 2498, 254 parties, 232V/17D/5N, saison 22)
5. Капа26 — 4431 points de ligue (Elo 1976, niveau Maître, division 2498, 265 parties, 245V/13D/7N, saison 22)
6. hlas — 3997 points de ligue (Elo 1620, niveau Maître, division 2498, 193 parties, 171V/19D/3N, saison 22)
7. Aluneta — 3577 points de ligue (Elo 1684, niveau Maître, division 2498, 185 parties, 164V/15D/6N, saison 22)
8. orp-piorun — 3509 points de ligue (Elo 1591, niveau Maître, division 2498, 158 parties, 144V/13D/1N, saison 22)
9. boypk — 3369 points de ligue (Elo 1815, niveau Maître, division 2498, 178 parties, 199V/2D/2N, saison 22)
10. xikomg — 2922 points de ligue (Elo 1663, niveau Maître, division 2498, 182 parties, 158V/23D/1N, saison 22)
