ChessLive — Top Bullet · ligue Placement chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 879
1. abe ito — 271 points de ligue (Elo 1286, niveau Placement, division 2, 4 parties, 4V/0D/0N, saison 22)
2. ardont — 257 points de ligue (Elo 1283, niveau Placement, division 2, 4 parties, 4V/0D/0N, saison 22)
3. fontoms — 240 points de ligue (Elo 1283, niveau Placement, division 2, 4 parties, 4V/0D/0N, saison 22)
4. deact — 238 points de ligue (Elo 1266, niveau Placement, division 2, 4 parties, 4V/0D/0N, saison 22)
5. fotonsc — 223 points de ligue (Elo 1256, niveau Placement, division 2, 4 parties, 3V/1D/0N, saison 22)
6. fantos — 215 points de ligue (Elo 1256, niveau Placement, division 2, 4 parties, 3V/1D/0N, saison 22)
7. rodri-4 — 214 points de ligue (Elo 1265, niveau Placement, division 2, 4 parties, 3V/1D/0N, saison 22)
8. bestont — 209 points de ligue (Elo 1237, niveau Placement, division 2, 4 parties, 3V/1D/0N, saison 22)
9. dominikt — 207 points de ligue (Elo 1254, niveau Placement, division 2, 4 parties, 3V/1D/0N, saison 22)
10. atomt — 205 points de ligue (Elo 1248, niveau Placement, division 2, 4 parties, 2V/1D/1N, saison 22)
