ChessLive — Top Rapid · ligue Or chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 450
1. Acacar123 — 2340 points de ligue (Elo 1237, niveau Or, division 2501, 63 parties, 77V/64D/8N, saison 22)
2. dogggggggggg — 2318 points de ligue (Elo 1226, niveau Or, division 2535, 58 parties, 66V/47D/8N, saison 22)
3. polipo — 2188 points de ligue (Elo 1254, niveau Or, division 2501, 56 parties, 186V/117D/23N, saison 22)
4. Митака — 2183 points de ligue (Elo 1253, niveau Or, division 2526, 68 parties, 74V/52D/8N, saison 22)
5. Arne B — 2073 points de ligue (Elo 1246, niveau Or, division 2493, 55 parties, 82V/92D/16N, saison 22)
6. aljb — 2069 points de ligue (Elo 1255, niveau Or, division 2514, 58 parties, 74V/61D/6N, saison 22)
7. Mr.Javed — 1936 points de ligue (Elo 1239, niveau Or, division 2522, 48 parties, 49V/46D/4N, saison 22)
8. Ярослав Ш — 1932 points de ligue (Elo 1247, niveau Or, division 2497, 57 parties, 104V/56D/5N, saison 22)
9. kcdc — 1921 points de ligue (Elo 1223, niveau Or, division 2547, 47 parties, 128V/85D/6N, saison 22)
10. jeffmeyer — 1917 points de ligue (Elo 1204, niveau Or, division 2501, 38 parties, 118V/99D/6N, saison 22)
