ChessLive — Top Chess960 · ligue Placement chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 331
1. Bobbi 1 — 186 points de ligue (Elo 1268, niveau Placement, division 1, 4 parties, 3V/0D/1N, saison 22)
2. Noddy — 184 points de ligue (Elo 1243, niveau Placement, division 1, 3 parties, 3V/0D/0N, saison 22)
3. aziz la classe — 159 points de ligue (Elo 1010, niveau Placement, division 1, 4 parties, 2V/2D/0N, saison 22)
4. BEsg — 149 points de ligue (Elo 1244, niveau Placement, division 1, 3 parties, 2V/1D/0N, saison 22)
5. Tarabar9999 — 143 points de ligue (Elo 1253, niveau Placement, division 1, 2 parties, 2V/0D/0N, saison 22)
6. звір — 137 points de ligue (Elo 1308, niveau Placement, division 1, 4 parties, 3V/1D/0N, saison 22)
7. francis57 — 130 points de ligue (Elo 1219, niveau Placement, division 1, 3 parties, 2V/1D/0N, saison 22)
8. lejardinier — 128 points de ligue (Elo 1228, niveau Placement, division 1, 4 parties, 3V/1D/0N, saison 22)
9. Шамшетдин — 128 points de ligue (Elo 1160, niveau Placement, division 1, 4 parties, 2V/2D/0N, saison 22)
10. shawkiiii — 119 points de ligue (Elo 1237, niveau Placement, division 1, 2 parties, 2V/0D/0N, saison 22)
