ChessLive — Top Bullet · ligue Or chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 157
1. Srba66 — 1604 points de ligue (Elo 1205, niveau Or, division 2539, 38 parties, 91V/93D/3N, saison 22)
2. Metallikk — 1584 points de ligue (Elo 1245, niveau Or, division 2496, 56 parties, 52V/88D/2N, saison 22)
3. olenici1 — 1574 points de ligue (Elo 1238, niveau Or, division 2488, 37 parties, 47V/41D/3N, saison 22)
4. 765ю — 1544 points de ligue (Elo 1201, niveau Or, division 2486, 35 parties, 31V/57D/1N, saison 22)
5. Asterix — 1514 points de ligue (Elo 1251, niveau Or, division 2549, 43 parties, 136V/106D/2N, saison 22)
6. Coalaa — 1461 points de ligue (Elo 1254, niveau Or, division 2486, 35 parties, 101V/100D/0N, saison 22)
7. Azamat k — 1447 points de ligue (Elo 1111, niveau Or, division 2539, 21 parties, 103V/119D/1N, saison 22)
8. reg2 — 1437 points de ligue (Elo 1151, niveau Or, division 2539, 28 parties, 75V/70D/5N, saison 22)
9. Daniel-Élie 97 — 1426 points de ligue (Elo 1198, niveau Or, division 2549, 35 parties, 113V/162D/10N, saison 22)
10. DIANE — 1398 points de ligue (Elo 1201, niveau Or, division 2539, 19 parties, 49V/77D/0N, saison 22)
