ChessLive — Top Rapid · ligue Maître chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 108
1. mikicijus — 5866 points de ligue (Elo 1510, niveau Maître, division 2502, 290 parties, 237V/41D/12N, saison 22)
2. Gambito X — 5716 points de ligue (Elo 1820, niveau Maître, division 2502, 290 parties, 294V/11D/10N, saison 22)
3. Wilmer — 5217 points de ligue (Elo 3120, niveau Maître, division 2502, 410 parties, 400V/10D/0N, saison 22)
4. колесник — 4449 points de ligue (Elo 1490, niveau Maître, division 2502, 156 parties, 154V/59D/16N, saison 22)
5. стеша — 3724 points de ligue (Elo 1755, niveau Maître, division 2502, 205 parties, 233V/16D/6N, saison 22)
6. ptz70 — 3567 points de ligue (Elo 2498, niveau Maître, division 2502, 219 parties, 212V/7D/0N, saison 22)
7. ZZDanijel — 3259 points de ligue (Elo 1799, niveau Maître, division 2502, 156 parties, 167V/14D/0N, saison 22)
8. Александр 86 — 3184 points de ligue (Elo 1977, niveau Maître, division 2502, 227 parties, 221V/3D/3N, saison 22)
9. Avlavas — 3149 points de ligue (Elo 2184, niveau Maître, division 2502, 245 parties, 240V/1D/4N, saison 22)
10. goretvert — 2860 points de ligue (Elo 1525, niveau Maître, division 2546, 44 parties, 182V/28D/6N, saison 22)
