ChessLive — Top Chess960 · ligue Bronze chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 41
1. 00001 — 3591 points de ligue (Elo 958, niveau Bronze, division 2515, 377 parties, 48V/328D/1N, saison 22)
2. dinhoaaaaa — 604 points de ligue (Elo 1231, niveau Bronze, division 2515, 18 parties, 10V/7D/1N, saison 22)
3. nikpaole — 583 points de ligue (Elo 1265, niveau Bronze, division 2515, 17 parties, 7V/10D/0N, saison 22)
4. nzv5000 — 479 points de ligue (Elo 1095, niveau Bronze, division 2515, 23 parties, 5V/17D/1N, saison 22)
5. кацапьёИЗГОИ — 476 points de ligue (Elo 1181, niveau Bronze, division 2515, 18 parties, 7V/11D/0N, saison 22)
6. Бат-бві — 453 points de ligue (Elo 1193, niveau Bronze, division 2515, 16 parties, 5V/11D/0N, saison 22)
7. HALESSANDROSCAF — 413 points de ligue (Elo 1061, niveau Bronze, division 2515, 19 parties, 5V/13D/1N, saison 22)
8. Shamshetdin — 403 points de ligue (Elo 1135, niveau Bronze, division 2515, 15 parties, 5V/9D/1N, saison 22)
9. wylber — 337 points de ligue (Elo 1113, niveau Bronze, division 2515, 23 parties, 1V/22D/0N, saison 22)
10. GegerNik — 328 points de ligue (Elo 1162, niveau Bronze, division 2515, 14 parties, 4V/10D/0N, saison 22)
