ChessLive — Top Blitz chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 3369
1. 00001 — 14522 points de ligue (Elo 790, niveau Bronze, division 2494, 2297 parties, 176V/2112D/9N, saison 22)
2. Dany78 — 10351 points de ligue (Elo 1001, niveau Bronze, division 2517, 655 parties, 128V/516D/11N, saison 22)
3. Ярослав55 — 6662 points de ligue (Elo 1594, niveau Maître, division 2498, 349 parties, 285V/35D/29N, saison 22)
4. DesertFox — 6591 points de ligue (Elo 1474, niveau Maître, division 2498, 311 parties, 263V/41D/7N, saison 22)
5. Oleg 333 — 5636 points de ligue (Elo 1510, niveau Maître, division 2498, 255 parties, 208V/37D/10N, saison 22)
6. valori — 4993 points de ligue (Elo 1624, niveau Maître, division 2498, 254 parties, 232V/17D/5N, saison 22)
7. Капа26 — 4431 points de ligue (Elo 1976, niveau Maître, division 2498, 265 parties, 245V/13D/7N, saison 22)
8. HALESSANDROSCAF — 4052 points de ligue (Elo 1036, niveau Bronze, division 2494, 233 parties, 61V/171D/1N, saison 22)
9. hlas — 3997 points de ligue (Elo 1620, niveau Maître, division 2498, 193 parties, 171V/19D/3N, saison 22)
10. lubov — 3951 points de ligue (Elo 942, niveau Bronze, division 2487, 194 parties, 56V/159D/4N, saison 22)
