ChessLive — Top Bullet simplechess (2026-09-21)
1. JebemVASSve — Elo 3400 (max 3400, 329 parties, 329V/0D/0N, pays SRB)
2. HELLO_SCAMMERS — Elo 3154 (max 3154, 100 parties, 100V/0D/0N, pays SRB)
3. GM_Chobanin — Elo 3006 (max 3150, 248 parties, 151V/97D/0N, pays SRB)
4. BoosterHaine — Elo 3005 (max 3085, 101 parties, 49V/52D/0N, pays SRB)
5. CheaterHaineZau — Elo 3003 (max 3003, 163 parties, 163V/0D/0N, pays SRB)
6. HaineZau — Elo 3002 (max 3002, 50 parties, 50V/0D/0N, pays FRA)
7. AmaterskiSajt — Elo 2624 (max 2900, 115 parties, 64V/51D/0N, pays SRB)
8. Miyukipa — Elo 2622 (max 2783, 76 parties, 59V/17D/0N, pays FRA)
9. GdeStePaceri — Elo 2546 (max 2742, 146 parties, 46V/100D/0N, pays SRB)
10. pajserxyz — Elo 2467 (max 2705, 65 parties, 36V/29D/0N, pays SRB)
