ChessLive — Top Rapid · ligue Platine chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 380
1. manueldfs — 2346 points de ligue (Elo 1325, niveau Platine, division 2526, 72 parties, 107V/75D/7N, saison 22)
2. Борис10 — 2214 points de ligue (Elo 1292, niveau Platine, division 2547, 51 parties, 209V/119D/15N, saison 22)
3. Деда дедо — 2188 points de ligue (Elo 1336, niveau Platine, division 2526, 50 parties, 91V/54D/11N, saison 22)
4. cacogames — 2184 points de ligue (Elo 1285, niveau Platine, division 2535, 48 parties, 159V/120D/17N, saison 22)
5. jorj — 2173 points de ligue (Elo 1275, niveau Platine, division 2547, 56 parties, 142V/134D/17N, saison 22)
6. Іван васильович — 2109 points de ligue (Elo 1318, niveau Platine, division 2497, 42 parties, 137V/132D/11N, saison 22)
7. Дідусічка — 2061 points de ligue (Elo 1269, niveau Platine, division 2501, 56 parties, 162V/120D/9N, saison 22)
8. Kappa11 — 2047 points de ligue (Elo 1298, niveau Platine, division 2535, 64 parties, 69V/48D/6N, saison 22)
9. Anuchka — 2029 points de ligue (Elo 1328, niveau Platine, division 2501, 52 parties, 160V/120D/13N, saison 22)
10. valentin1952 — 2004 points de ligue (Elo 1347, niveau Platine, division 2546, 40 parties, 122V/39D/8N, saison 22)
