ChessLive — Top Bullet · ligue Diamant chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 93
1. pioupiou31 — 2913 points de ligue (Elo 1398, niveau Diamant, division 2488, 102 parties, 247V/120D/8N, saison 22)
2. diaconu mihai — 2606 points de ligue (Elo 1442, niveau Diamant, division 2500, 89 parties, 141V/52D/2N, saison 22)
3. Bubetta — 2277 points de ligue (Elo 1381, niveau Diamant, division 2488, 63 parties, 186V/72D/6N, saison 22)
4. PoAf — 2273 points de ligue (Elo 1447, niveau Diamant, division 2488, 25 parties, 168V/118D/16N, saison 22)
5. ludo213 — 1805 points de ligue (Elo 1373, niveau Diamant, division 2488, 29 parties, 107V/53D/6N, saison 22)
6. alaink — 1772 points de ligue (Elo 1423, niveau Diamant, division 2488, 48 parties, 122V/69D/9N, saison 22)
7. Ivalin87 — 1713 points de ligue (Elo 1410, niveau Diamant, division 2488, 44 parties, 60V/31D/3N, saison 22)
8. Иксе — 1695 points de ligue (Elo 1366, niveau Diamant, division 2488, 53 parties, 64V/30D/1N, saison 22)
9. treg — 1677 points de ligue (Elo 1431, niveau Diamant, division 2500, 44 parties, 66V/31D/3N, saison 22)
10. stading — 1659 points de ligue (Elo 1417, niveau Diamant, division 2488, 21 parties, 360V/256D/13N, saison 22)
