ChessLive — Top Rapid chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 3727
1. 00001 — 11129 points de ligue (Elo 706, niveau Bronze, division 2492, 1971 parties, 162V/1795D/14N, saison 22)
2. mikicijus — 5866 points de ligue (Elo 1510, niveau Maître, division 2502, 290 parties, 237V/41D/12N, saison 22)
3. Gambito X — 5716 points de ligue (Elo 1820, niveau Maître, division 2502, 290 parties, 294V/11D/10N, saison 22)
4. Wilmer — 5217 points de ligue (Elo 3120, niveau Maître, division 2502, 410 parties, 400V/10D/0N, saison 22)
5. колесник — 4449 points de ligue (Elo 1490, niveau Maître, division 2502, 156 parties, 154V/59D/16N, saison 22)
6. Dário Moura — 4303 points de ligue (Elo 1009, niveau Bronze, division 2492, 212 parties, 50V/150D/12N, saison 22)
7. Orangebleue — 4281 points de ligue (Elo 931, niveau Bronze, division 2492, 197 parties, 40V/148D/9N, saison 22)
8. стеша — 3724 points de ligue (Elo 1755, niveau Maître, division 2502, 205 parties, 233V/16D/6N, saison 22)
9. paolosurus — 3719 points de ligue (Elo 919, niveau Bronze, division 2492, 236 parties, 45V/188D/3N, saison 22)
10. Jnhhhbh — 3664 points de ligue (Elo 1058, niveau Bronze, division 2492, 273 parties, 72V/201D/0N, saison 22)
