ChessLive — Top Rapid · ligue Diamant chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 178
1. Мозгвышебатеь — 3202 points de ligue (Elo 1389, niveau Diamant, division 2547, 17 parties, 707V/118D/48N, saison 22)
2. Сергей12 — 2930 points de ligue (Elo 1380, niveau Diamant, division 2497, 85 parties, 185V/89D/5N, saison 22)
3. Динамо — 2593 points de ligue (Elo 1449, niveau Diamant, division 2502, 86 parties, 70V/38D/9N, saison 22)
4. Toni64 — 2523 points de ligue (Elo 1402, niveau Diamant, division 2502, 81 parties, 149V/49D/9N, saison 22)
5. Avas — 2229 points de ligue (Elo 1392, niveau Diamant, division 2547, 47 parties, 137V/50D/5N, saison 22)
6. Joantpc — 2225 points de ligue (Elo 1449, niveau Diamant, division 2546, 58 parties, 234V/41D/11N, saison 22)
7. Olvi — 2188 points de ligue (Elo 1404, niveau Diamant, division 2497, 31 parties, 403V/183D/45N, saison 22)
8. гриша 1 — 2182 points de ligue (Elo 1436, niveau Diamant, division 2546, 49 parties, 266V/75D/19N, saison 22)
9. TROUT — 2136 points de ligue (Elo 1376, niveau Diamant, division 2527, 65 parties, 127V/58D/10N, saison 22)
10. uber gouber — 2085 points de ligue (Elo 1426, niveau Diamant, division 2527, 48 parties, 173V/61D/6N, saison 22)
