ChessLive — Top Chess960 · ligue Argent chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 35
1. witalii21 — 1333 points de ligue (Elo 1172, niveau Argent, division 2509, 33 parties, 77V/87D/5N, saison 22)
2. Maurizmauriz — 1094 points de ligue (Elo 1179, niveau Argent, division 2504, 37 parties, 29V/30D/3N, saison 22)
3. KerimBegmyradow — 832 points de ligue (Elo 1342, niveau Argent, division 2505, 26 parties, 20V/6D/0N, saison 22)
4. praydaily — 555 points de ligue (Elo 1196, niveau Argent, division 2505, 21 parties, 8V/12D/1N, saison 22)
5. Danglanidze — 528 points de ligue (Elo 1111, niveau Argent, division 2505, 30 parties, 8V/22D/0N, saison 22)
6. A14 - A14 — 479 points de ligue (Elo 1258, niveau Argent, division 2505, 14 parties, 7V/7D/0N, saison 22)
7. pior — 412 points de ligue (Elo 1237, niveau Argent, division 2505, 13 parties, 7V/6D/0N, saison 22)
8. BloodyKing — 393 points de ligue (Elo 1259, niveau Argent, division 2505, 12 parties, 8V/4D/0N, saison 22)
9. amr914 — 391 points de ligue (Elo 1292, niveau Argent, division 2505, 12 parties, 5V/7D/0N, saison 22)
10. vovik-37a — 382 points de ligue (Elo 1269, niveau Argent, division 2505, 13 parties, 9V/3D/1N, saison 22)
