ChessLive — Top Chess960 · ligue Platine chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 11
1. voodoo6 — 1129 points de ligue (Elo 1262, niveau Platine, division 2507, 41 parties, 43V/23D/0N, saison 22)
2. Eclipse53 — 1063 points de ligue (Elo 1293, niveau Platine, division 2504, 9 parties, 170V/152D/16N, saison 22)
3. TSquared — 1018 points de ligue (Elo 1291, niveau Platine, division 2504, 19 parties, 81V/63D/3N, saison 22)
4. Кравец — 866 points de ligue (Elo 1310, niveau Platine, division 2504, 21 parties, 18V/25D/3N, saison 22)
5. Lascador — 762 points de ligue (Elo 1276, niveau Platine, division 2504, 19 parties, 24V/20D/0N, saison 22)
6. Max William — 739 points de ligue (Elo 1211, niveau Platine, division 2504, 15 parties, 36V/34D/0N, saison 22)
7. robocop892024 — 733 points de ligue (Elo 1207, niveau Platine, division 2504, 14 parties, 32V/30D/3N, saison 22)
8. Noprogram — 694 points de ligue (Elo 1313, niveau Platine, division 2507, 32 parties, 17V/15D/0N, saison 22)
9. ekarlate — 670 points de ligue (Elo 1276, niveau Platine, division 2504, 6 parties, 37V/21D/1N, saison 22)
10. Иксе — 278 points de ligue (Elo 1367, niveau Platine, division 2504, 11 parties, 7V/3D/1N, saison 22)
