ChessLive — Top Bullet · ligue Argent chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 286
1. Aliona — 1931 points de ligue (Elo 1161, niveau Argent, division 2486, 46 parties, 148V/152D/4N, saison 22)
2. JouerVifche — 1665 points de ligue (Elo 1115, niveau Argent, division 2530, 7 parties, 52V/116D/0N, saison 22)
3. wylber — 1413 points de ligue (Elo 1179, niveau Argent, division 2542, 43 parties, 62V/123D/7N, saison 22)
4. Avder — 1357 points de ligue (Elo 1121, niveau Argent, division 2530, 42 parties, 581V/693D/15N, saison 22)
5. TimE — 1296 points de ligue (Elo 1174, niveau Argent, division 2542, 47 parties, 24V/48D/0N, saison 22)
6. Сантьяго. — 1277 points de ligue (Elo 1149, niveau Argent, division 2499, 26 parties, 47V/88D/2N, saison 22)
7. klee — 1273 points de ligue (Elo 1167, niveau Argent, division 2539, 42 parties, 25V/41D/1N, saison 22)
8. xavinicius — 1193 points de ligue (Elo 1071, niveau Argent, division 2542, 24 parties, 57V/95D/3N, saison 22)
9. INNOCENT — 1128 points de ligue (Elo 1156, niveau Argent, division 2499, 36 parties, 22V/39D/0N, saison 22)
10. RAGNAR — 1106 points de ligue (Elo 1169, niveau Argent, division 2499, 8 parties, 57V/84D/1N, saison 22)
