ChessLive — Top Blitz · ligue Bronze chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 475
1. 00001 — 14522 points de ligue (Elo 790, niveau Bronze, division 2494, 2297 parties, 176V/2112D/9N, saison 22)
2. Dany78 — 10351 points de ligue (Elo 1001, niveau Bronze, division 2517, 655 parties, 128V/516D/11N, saison 22)
3. HALESSANDROSCAF — 4052 points de ligue (Elo 1036, niveau Bronze, division 2494, 233 parties, 61V/171D/1N, saison 22)
4. lubov — 3951 points de ligue (Elo 942, niveau Bronze, division 2487, 194 parties, 56V/159D/4N, saison 22)
5. على باب الوزير — 3930 points de ligue (Elo 1039, niveau Bronze, division 2512, 226 parties, 56V/190D/5N, saison 22)
6. remijour — 3880 points de ligue (Elo 932, niveau Bronze, division 2511, 291 parties, 69V/220D/2N, saison 22)
7. Серогопил — 3822 points de ligue (Elo 1090, niveau Bronze, division 2487, 226 parties, 71V/177D/4N, saison 22)
8. Aylla — 3407 points de ligue (Elo 1061, niveau Bronze, division 2512, 144 parties, 45V/124D/1N, saison 22)
9. Luigitironel7 — 3385 points de ligue (Elo 1067, niveau Bronze, division 2512, 59 parties, 99V/198D/6N, saison 22)
10. Hippolyte2 — 3285 points de ligue (Elo 987, niveau Bronze, division 2532, 152 parties, 77V/202D/5N, saison 22)
