ChessLive — Top Blitz · ligue Placement chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 1481
1. Leo_messi_44 — 1427 points de ligue (Elo 1896, niveau Placement, division 3, 3 parties, 3V/0D/0N, saison 22)
2. rauf Ashurov — 1101 points de ligue (Elo 1744, niveau Placement, division 3, 1 parties, 1V/0D/0N, saison 22)
3. msimoesppta — 621 points de ligue (Elo 1542, niveau Placement, division 3, 2 parties, 1V/1D/0N, saison 22)
4. Vacorian — 541 points de ligue (Elo 1334, niveau Placement, division 3, 2 parties, 1V/0D/1N, saison 22)
5. Nail Hotilović — 527 points de ligue (Elo 1438, niveau Placement, division 3, 3 parties, 2V/1D/0N, saison 22)
6. важкороб 55 — 506 points de ligue (Elo 1416, niveau Placement, division 3, 2 parties, 0V/2D/0N, saison 22)
7. BRICS! — 502 points de ligue (Elo 1425, niveau Placement, division 3, 2 parties, 2V/0D/0N, saison 22)
8. Simão  Pinto — 475 points de ligue (Elo 1337, niveau Placement, division 3, 4 parties, 4V/0D/0N, saison 22)
9. Mainsten — 472 points de ligue (Elo 1316, niveau Placement, division 3, 4 parties, 2V/2D/0N, saison 22)
10. ВасильЗ — 469 points de ligue (Elo 1230, niveau Placement, division 3, 3 parties, 3V/0D/0N, saison 22)
