ChessLive — Top Bullet chesshotel (2026-09-21)
Joueurs classés (saison) : 894
1. BadatChess1 — 1030 points de ligue (Elo 1131, niveau Argent, 119 parties, 96V/23D/0N, saison 22)
2. Микола2 — 940 points de ligue (Elo 1305, niveau Argent, 43 parties, 42V/1D/1N, saison 22)
3. nespadrille — 692 points de ligue (Elo 1283, niveau Argent, 54 parties, 49V/5D/0N, saison 22)
4. Явор — 657 points de ligue (Elo 1194, niveau Argent, 31 parties, 30V/1D/0N, saison 22)
5. smsm 1977 — 637 points de ligue (Elo 1284, niveau Argent, 44 parties, 43V/1D/0N, saison 22)
6. savaş — 579 points de ligue (Elo 1214, niveau Argent, 33 parties, 32V/1D/0N, saison 22)
7. guidondemonio — 538 points de ligue (Elo 1198, niveau Argent, 29 parties, 29V/0D/0N, saison 22)
8. thiamatte — 448 points de ligue (Elo 1230, niveau Argent, 38 parties, 35V/3D/0N, saison 22)
9. Magava — 443 points de ligue (Elo 1324, niveau Argent, 81 parties, 57V/24D/2N, saison 22)
10. mcgomes — 419 points de ligue (Elo 1175, niveau Argent, 40 parties, 33V/7D/0N, saison 22)
