ChessLive — Top Chess960 · ligue Maître chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 10
1. Юрмала — 8856 points de ligue (Elo 1559, niveau Maître, division 2506, 429 parties, 375V/44D/10N, saison 22)
2. Kanev — 7992 points de ligue (Elo 1667, niveau Maître, division 2506, 413 parties, 368V/41D/4N, saison 22)
3. Юрмалино — 4210 points de ligue (Elo 1531, niveau Maître, division 2506, 159 parties, 283V/53D/11N, saison 22)
4. Ggg5 — 3204 points de ligue (Elo 1507, niveau Maître, division 2506, 38 parties, 294V/52D/13N, saison 22)
5. Sleepingsun — 2200 points de ligue (Elo 1644, niveau Maître, division 2506, 81 parties, 124V/7D/0N, saison 22)
6. phil0001 — 2154 points de ligue (Elo 1461, niveau Maître, division 2506, 7 parties, 197V/33D/2N, saison 22)
7. Sleepingsun77 — 2065 points de ligue (Elo 1588, niveau Maître, division 2506, 67 parties, 107V/8D/2N, saison 22)
8. Sleepingsun1977 — 1373 points de ligue (Elo 1529, niveau Maître, division 2506, 28 parties, 70V/7D/1N, saison 22)
9. Анто — 1320 points de ligue (Elo 1420, niveau Maître, division 2506, 21 parties, 115V/33D/1N, saison 22)
10. elyaviene — 52 points de ligue (Elo 1560, niveau Maître, division 2506, 5 parties, 5V/0D/0N, saison 22)
