ChessLive — Top France checkmate (2026-09-21)
1. nynawa — Elo 2780 (1226 parties, 1141V/36D/49N, 80 points de puzzles, pays FR, n°38 mondial)
2. bonhommenoel61 — Elo 2775 (816 parties, 760V/32D/24N, 471 points de puzzles, pays FR, n°43 mondial)
3. doudoumaki — Elo 2708 (2000 parties, 1454V/503D/43N, 5948 points de puzzles, pays FR, n°117 mondial)
4. Milkar — Elo 2704 (1110 parties, 887V/166D/57N, 1637 points de puzzles, pays FR, n°155 mondial)
5. paulmorphy1984 — Elo 2700 (2141 parties, 1378V/724D/39N, 61 points de puzzles, pays FR, n°215 mondial)
6. danielpicot2013 — Elo 2700 (381 parties, 314V/64D/3N, 418 points de puzzles, pays FR, n°221 mondial)
7. IsLaMilice3 — Elo 2673 (5520 parties, 3413V/2079D/28N, 503 points de puzzles, pays FR, n°257 mondial)
8. SuperMorphy — Elo 2691 (1980 parties, 1430V/536D/14N, 51139 points de puzzles, pays FR, n°267 mondial)
9. Rocabar — Elo 2689 (2620 parties, 1856V/721D/43N, 2907 points de puzzles, pays FR, n°282 mondial)
10. Le-Merovingien — Elo 2678 (458 parties, 407V/31D/20N, 210 points de puzzles, pays FR, n°322 mondial)
