ChessLive — Top Puzzle Battle simplechess (2026-09-05)
1. GillesLeGrand — Elo 2601 (max 2626, 472 parties, 455V/14D/3N, pays USA)
2. Inspire — Elo 2454 (max 2631, 2087 parties, 1909V/169D/9N, pays FRA)
3. nikopoulos — Elo 2348 (max 2348, 123 parties, 117V/4D/2N, pays FRA)
4. fenad56 — Elo 2233 (max 2233, 517 parties, 418V/85D/14N, pays ESP)
5. LuccaSG2b — Elo 2220 (max 2220, 318 parties, 245V/68D/5N, pays FRA)
6. Piba1 — Elo 2193 (max 2193, 234 parties, 233V/1D/0N, pays FRA)
7. xadrez95 — Elo 2185 (max 2210, 273 parties, 257V/15D/1N, pays FRA)
8. Goke — Elo 2181 (max 2181, 78 parties, 73V/5D/0N, pays ESP)
9. Chessto6 — Elo 2178 (max 2253, 559 parties, 475V/79D/5N, pays ESP)
10. Vinsimo — Elo 2153 (max 2162, 57 parties, 56V/1D/0N, pays FRA)
