ChessLive — Top Bullet · ligue Platine chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 101
1. RIBASCO — 2457 points de ligue (Elo 1280, niveau Platine, division 2500, 65 parties, 114V/63D/4N, saison 22)
2. sad77 — 2190 points de ligue (Elo 1295, niveau Platine, division 2486, 72 parties, 49V/44D/4N, saison 22)
3. JHS1233 — 1709 points de ligue (Elo 1304, niveau Platine, division 2486, 44 parties, 39V/29D/1N, saison 22)
4. diegost4N — 1675 points de ligue (Elo 1346, niveau Platine, division 2488, 48 parties, 55V/46D/2N, saison 22)
5. Aries26 — 1621 points de ligue (Elo 1305, niveau Platine, division 2488, 46 parties, 51V/44D/2N, saison 22)
6. hlas — 1596 points de ligue (Elo 1305, niveau Platine, division 2488, 41 parties, 65V/48D/3N, saison 22)
7. Мозгвышебатеь — 1577 points de ligue (Elo 1274, niveau Platine, division 2549, 7 parties, 485V/239D/39N, saison 22)
8. tartuffe & — 1570 points de ligue (Elo 1274, niveau Platine, division 2486, 48 parties, 90V/104D/2N, saison 22)
9. русь курск — 1550 points de ligue (Elo 1240, niveau Platine, division 2549, 29 parties, 125V/98D/17N, saison 22)
10. karleandré — 1510 points de ligue (Elo 1269, niveau Platine, division 2486, 26 parties, 86V/76D/3N, saison 22)
