ChessLive — Top Élite (Diamant + Maître) chesshotel (2026-09-21)
Joueurs classés (saison) : 16
1. hlas — 3779 points de ligue (Elo 2269, niveau Maître, 205 parties, 186V/19D/0N, saison 22)
2. Grmeč — 6073 points de ligue (Elo 2226, niveau Maître, 744 parties, 585V/159D/0N, saison 22)
3. Beginner_Brazil — 4209 points de ligue (Elo 2218, niveau Maître, 298 parties, 263V/35D/0N, saison 22)
4. Sleepingsun — 549 points de ligue (Elo 2202, niveau Maître, 35 parties, 28V/7D/0N, saison 22)
5. Svit+lana — 2927 points de ligue (Elo 2042, niveau Maître, 224 parties, 198V/26D/0N, saison 22)
6. roby13 — 2898 points de ligue (Elo 2038, niveau Maître, 238 parties, 204V/34D/0N, saison 22)
7. Minskcity — 3228 points de ligue (Elo 2037, niveau Maître, 137 parties, 130V/7D/0N, saison 22)
8. Kiko ™ — 3143 points de ligue (Elo 2031, niveau Maître, 108 parties, 108V/0D/0N, saison 22)
9. Xarly1984 — 3180 points de ligue (Elo 2020, niveau Maître, 105 parties, 104V/1D/0N, saison 22)
10. орион — 3101 points de ligue (Elo 2016, niveau Maître, 140 parties, 126V/14D/0N, saison 22)
