ChessLive — Top Bullet · ligue Maître chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 46
1. Dekaionus Dacia — 12435 points de ligue (Elo 1632, niveau Maître, division 2500, 308 parties, 682V/151D/35N, saison 22)
2. KosovoIsSerbia — 10798 points de ligue (Elo 1533, niveau Maître, division 2500, 544 parties, 487V/49D/8N, saison 22)
3. gerastom — 6830 points de ligue (Elo 1580, niveau Maître, division 2500, 338 parties, 299V/38D/1N, saison 22)
4. Kikiriki 2 — 6702 points de ligue (Elo 1677, niveau Maître, division 2500, 349 parties, 311V/36D/2N, saison 22)
5. kurmukoruks — 5626 points de ligue (Elo 1576, niveau Maître, division 2500, 259 parties, 296V/54D/4N, saison 22)
6. Rudolph — 4885 points de ligue (Elo 1807, niveau Maître, division 2500, 339 parties, 329V/8D/2N, saison 22)
7. H2O2 — 4563 points de ligue (Elo 1870, niveau Maître, division 2500, 252 parties, 273V/3D/1N, saison 22)
8. soslow1963-1 — 4476 points de ligue (Elo 1531, niveau Maître, division 2500, 38 parties, 1003V/454D/38N, saison 22)
9. ZataraChristo — 4002 points de ligue (Elo 1599, niveau Maître, division 2500, 199 parties, 178V/17D/4N, saison 22)
10. leplusfaible — 3744 points de ligue (Elo 1760, niveau Maître, division 2500, 184 parties, 171V/10D/3N, saison 22)
