ChessLive — Top Rapid · ligue Placement chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 1337
1. soslow1963-1 — 679 points de ligue (Elo 1485, niveau Placement, division 4, 4 parties, 1V/3D/0N, saison 22)
2. sslb — 382 points de ligue (Elo 1341, niveau Placement, division 4, 2 parties, 1V/1D/0N, saison 22)
3. Majak1 — 289 points de ligue (Elo 1261, niveau Placement, division 4, 2 parties, 1V/1D/0N, saison 22)
4. boypk — 247 points de ligue (Elo 1292, niveau Placement, division 4, 4 parties, 4V/0D/0N, saison 22)
5. Schachmatt — 218 points de ligue (Elo 1278, niveau Placement, division 4, 4 parties, 4V/0D/0N, saison 22)
6. New-z — 192 points de ligue (Elo 1262, niveau Placement, division 4, 3 parties, 2V/0D/1N, saison 22)
7. PALUFRA — 188 points de ligue (Elo 1164, niveau Placement, division 4, 4 parties, 3V/1D/0N, saison 22)
8. ToTi16 — 183 points de ligue (Elo 1273, niveau Placement, division 4, 4 parties, 4V/0D/0N, saison 22)
9. Jak_Fresko — 182 points de ligue (Elo 1265, niveau Placement, division 4, 4 parties, 4V/0D/0N, saison 22)
10. offwhite — 181 points de ligue (Elo 1272, niveau Placement, division 4, 4 parties, 4V/0D/0N, saison 22)
