ChessLive — Top Blitz · ligue Platine chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 244
1. عزيز — 2859 points de ligue (Elo 1299, niveau Platine, division 2534, 65 parties, 170V/107D/7N, saison 22)
2. vsv82 — 2346 points de ligue (Elo 1297, niveau Platine, division 2537, 53 parties, 90V/50D/8N, saison 22)
3. prcd55 — 2293 points de ligue (Elo 1313, niveau Platine, division 2537, 40 parties, 131V/50D/5N, saison 22)
4. pe de cabra — 2210 points de ligue (Elo 1307, niveau Platine, division 2537, 63 parties, 79V/89D/5N, saison 22)
5. vvvvvvvvvvv — 2209 points de ligue (Elo 1306, niveau Platine, division 2537, 40 parties, 193V/94D/15N, saison 22)
6. rabamfr — 2197 points de ligue (Elo 1291, niveau Platine, division 2491, 64 parties, 55V/31D/3N, saison 22)
7. mmm56 — 2168 points de ligue (Elo 1329, niveau Platine, division 2537, 47 parties, 211V/122D/19N, saison 22)
8. Ivalin87 — 2075 points de ligue (Elo 1336, niveau Platine, division 2498, 57 parties, 172V/89D/9N, saison 22)
9. Pedro24 — 2059 points de ligue (Elo 1315, niveau Platine, division 2534, 33 parties, 185V/103D/13N, saison 22)
10. lairdtomas — 2058 points de ligue (Elo 1275, niveau Platine, division 2534, 25 parties, 136V/111D/9N, saison 22)
