ChessLive — Top Chess960 · ligue Or chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 12
1. Мозгвышебатеь — 1664 points de ligue (Elo 1204, niveau Or, division 2504, 35 parties, 74V/38D/8N, saison 22)
2. whisky1 — 1142 points de ligue (Elo 1203, niveau Or, division 2509, 28 parties, 54V/56D/7N, saison 22)
3. punk4ever — 965 points de ligue (Elo 1200, niveau Or, division 2509, 11 parties, 54V/48D/4N, saison 22)
4. faraopp — 734 points de ligue (Elo 1265, niveau Or, division 2509, 20 parties, 21V/22D/2N, saison 22)
5. Martynvbg47 — 708 points de ligue (Elo 1180, niveau Or, division 2509, 27 parties, 13V/36D/3N, saison 22)
6. wildan — 693 points de ligue (Elo 1295, niveau Or, division 2509, 25 parties, 13V/11D/1N, saison 22)
7. ims_dc — 598 points de ligue (Elo 1375, niveau Or, division 2509, 22 parties, 15V/6D/1N, saison 22)
8. Arthur51 — 592 points de ligue (Elo 1198, niveau Or, division 2509, 17 parties, 20V/20D/2N, saison 22)
9. MEGANOV — 497 points de ligue (Elo 1332, niveau Or, division 2509, 18 parties, 10V/8D/0N, saison 22)
10. Buboss — 308 points de ligue (Elo 1314, niveau Or, division 2509, 11 parties, 7V/4D/0N, saison 22)
