ChessLive — Top Rapid · ligue Bronze chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 692
1. 00001 — 11129 points de ligue (Elo 706, niveau Bronze, division 2492, 1971 parties, 162V/1795D/14N, saison 22)
2. Dário Moura — 4303 points de ligue (Elo 1009, niveau Bronze, division 2492, 212 parties, 50V/150D/12N, saison 22)
3. Orangebleue — 4281 points de ligue (Elo 931, niveau Bronze, division 2492, 197 parties, 40V/148D/9N, saison 22)
4. paolosurus — 3719 points de ligue (Elo 919, niveau Bronze, division 2492, 236 parties, 45V/188D/3N, saison 22)
5. Jnhhhbh — 3664 points de ligue (Elo 1058, niveau Bronze, division 2492, 273 parties, 72V/201D/0N, saison 22)
6. cousseins — 3644 points de ligue (Elo 1062, niveau Bronze, division 2518, 151 parties, 71V/161D/12N, saison 22)
7. DRILLON — 3588 points de ligue (Elo 967, niveau Bronze, division 2544, 127 parties, 103V/213D/2N, saison 22)
8. 1221ser — 3490 points de ligue (Elo 1046, niveau Bronze, division 2529, 129 parties, 79V/208D/9N, saison 22)
9. Viktore — 3315 points de ligue (Elo 970, niveau Bronze, division 2489, 120 parties, 77V/168D/17N, saison 22)
10. Річард — 3306 points de ligue (Elo 1011, niveau Bronze, division 2508, 164 parties, 42V/115D/7N, saison 22)
