ChessLive — Top Blitz · ligue Or chesshotel (2026-09-21)
Joueurs classés dans ce tableau : 420
1. Vetalkot — 2708 points de ligue (Elo 1256, niveau Or, division 2521, 77 parties, 144V/136D/10N, saison 22)
2. wineclub2001 — 2592 points de ligue (Elo 1225, niveau Or, division 2534, 63 parties, 169V/109D/19N, saison 22)
3. edgarcolle — 2503 points de ligue (Elo 1243, niveau Or, division 2525, 42 parties, 160V/154D/3N, saison 22)
4. AZ67 — 2498 points de ligue (Elo 1208, niveau Or, division 2534, 61 parties, 163V/122D/20N, saison 22)
5. didiodidio — 2335 points de ligue (Elo 1258, niveau Or, division 2537, 45 parties, 132V/129D/23N, saison 22)
6. Петър — 2272 points de ligue (Elo 1196, niveau Or, division 2490, 39 parties, 202V/186D/19N, saison 22)
7. Itaporanguense — 2233 points de ligue (Elo 1191, niveau Or, division 2525, 59 parties, 124V/141D/6N, saison 22)
8. impavido sempre — 2109 points de ligue (Elo 1212, niveau Or, division 2516, 50 parties, 78V/70D/7N, saison 22)
9. bianchimani — 2106 points de ligue (Elo 1247, niveau Or, division 2536, 50 parties, 155V/124D/16N, saison 22)
10. propan_ — 2084 points de ligue (Elo 1215, niveau Or, division 2490, 53 parties, 241V/244D/14N, saison 22)
